"Series","f0","f0.se","f0.p","f0.lo95","f0.up95","Method","Warning","Prefilter","Prefilter.p","SatCrit.Warning"
"102acid170725","3.661e+01","1.293e+01","1.054e-01","-1.903e+01","9.224e+01","LR","None","Signal","0.000e+00","Flux limited by saturation assumption - LR applied"
"103cont170725","4.468e+01","9.529e+00","4.260e-02","3.677e+00","8.568e+01","LR","None","Signal","0.000e+00","None"
"104acid170725","4.130e+01","1.761e+00","2.713e-02","1.893e+01","6.367e+01","HMR","None","Signal","6.690e-13","None"
"105cont170725","4.491e+01","1.210e+00","7.259e-04","3.970e+01","5.011e+01","LR","None","Signal","0.000e+00","None"
"106acid170725","4.407e+01","2.709e+00","3.758e-03","3.241e+01","5.572e+01","LR","None","Signal","0.000e+00","None"
"101cont240725","6.111e+00","1.701e+00","6.952e-02","-1.209e+00","1.343e+01","LR","None","Noise","2.038e-01","None"
"102acid240725","1.464e+01","1.265e+01","4.537e-01","-1.461e+02","1.754e+02","HMR","None","Signal","1.397e-02","None"
"103cont240725","2.018e+00","5.133e-01","5.902e-02","-1.903e-01","4.227e+00","LR","None","Noise","9.260e-01","None"
"104acid240725","9.312e+00","1.563e+00","2.704e-02","2.587e+00","1.604e+01","LR","None","Signal","2.600e-02","None"
"105cont240725","8.335e+00","2.152e+00","6.063e-02","-9.220e-01","1.759e+01","LR","None","Noise","5.010e-02","None"
"106acid240725","7.945e+00","1.810e+00","4.816e-02","1.592e-01","1.573e+01","LR","None","Noise","9.429e-02","None"
"101cont310725","6.044e+00","8.053e-01","1.730e-02","2.579e+00","9.508e+00","LR","None","Noise","2.179e-01","None"
"102acid310725","2.110e+00","1.890e+00","3.802e-01","-6.020e+00","1.024e+01","LR","None","Noise","7.135e-01","Flux limited by saturation assumption - LR applied"
"103cont310725","1.812e+00","8.222e+00","8.460e-01","-3.357e+01","3.719e+01","LR","None","Signal","1.420e-03","Flux limited by saturation assumption - LR applied"
"104acid310725","6.443e-01","1.690e+00","7.397e-01","-6.627e+00","7.916e+00","LR","None","Noise","8.792e-01","Flux limited by saturation assumption - LR applied"
"105cont310725","1.970e-01","5.727e+00","9.757e-01","-2.445e+01","2.484e+01","LR","None","Noise","7.243e-02","Flux limited by saturation assumption - LR applied"
"106acid310725","3.940e+00","1.160e+00","7.685e-02","-1.052e+00","8.932e+00","LR","None","Noise","6.070e-01","None"
